InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536372,851232,Sample Product 3,1,2025-12-01 08:26:00,2.75,17855,France
536373,851233,Sample Product 4,3,2025-12-01 08:26:00,7.65,17856,Germany
536374,851234,Sample Product 5,24,2025-12-01 08:26:00,4.25,17857,United Kingdom
536365,851230,Sample Product 1,6,2025-12-01 08:26:00,2.55,17850,United Kingdom
536366,851231,Sample Product 2,8,2025-12-01 08:26:00,3.39,17851,France
536367,851232,Sample Product 3,-1,2025-12-01 08:26:00,2.75,17852,Germany
536368,851233,Sample Product 4,12,2025-12-01 08:26:00,7.65,17853,United Kingdom
536369,851234,Sample Product 5,2,2025-12-01 08:26:00,4.25,17854,United Kingdom
536370,851230,Sample Product 1,4,2025-12-01 08:26:00,2.55,17855,France
536371,851231,Sample Product 2,10,2025-12-01 08:26:00,3.39,17856,Germany
536372,851232,Sample Product 3,1,2025-12-01 08:26:00,2.75,17857,United Kingdom
536373,851233,Sample Product 4,3,2025-12-01 08:26:00,7.65,17850,United Kingdom
536374,851234,Sample Product 5,24,2025-12-01 08:26:00,4.25,17851,France
536365,851230,Sample Product 1,6,2025-12-01 08:26:00,2.55,17852,Germany
536366,851231,Sample Product 2,8,2025-12-01 08:26:00,3.39,17853,United Kingdom
536367,851232,Sample Product 3,-1,2025-12-01 08:26:00,2.75,17854,United Kingdom
536368,851233,Sample Product 4,12,2025-12-01 08:26:00,7.65,17855,France
536369,851234,Sample Product 5,2,2025-12-01 08:26:00,4.25,17856,Germany
536370,851230,Sample Product 1,4,2025-12-01 08:26:00,2.55,17857,United Kingdom
536371,851231,Sample Product 2,10,2025-12-01 08:26:00,3.39,17850,United Kingdom
536372,851232,Sample Product 3,1,2025-12-01 08:26:00,2.75,17851,France
536373,851233,Sample Product 4,3,2025-12-01 08:26:00,7.65,17852,Germany
536374,851234,Sample Product 5,24,2025-12-01 08:26:00,4.25,17853,United Kingdom
536365,851230,Sample Product 1,6,2025-12-01 08:26:00,2.55,17854,United Kingdom
536366,851231,Sample Product 2,8,2025-12-01 08:26:00,3.39,17855,France
536367,851232,Sample Product 3,-1,2025-12-01 08:26:00,2.75,17856,Germany
536368,851233,Sample Product 4,12,2025-12-01 08:26:00,7.65,17857,United Kingdom
536369,851234,Sample Product 5,2,2025-12-01 08:26:00,4.25,17850,United Kingdom
536370,851230,Sample Product 1,4,2025-12-01 08:26:00,2.55,17851,France
536371,851231,Sample Product 2,10,2025-12-01 08:26:00,3.39,17852,Germany
536372,851232,Sample Product 3,1,2025-12-01 08:26:00,2.75,17853,United Kingdom
536373,851233,Sample Product 4,3,2025-12-01 08:26:00,7.65,17854,United Kingdom
536374,851234,Sample Product 5,24,2025-12-01 08:26:00,4.25,17855,France
536365,851230,Sample Product 1,6,2025-12-01 08:26:00,2.55,17856,Germany
536366,851231,Sample Product 2,8,2025-12-01 08:26:00,3.39,17857,United Kingdom
536367,851232,Sample Product 3,-1,2025-12-01 08:26:00,2.75,17850,United Kingdom
536368,851233,Sample Product 4,12,2025-12-01 08:26:00,7.65,17851,France
536369,851234,Sample Product 5,2,2025-12-01 08:26:00,4.25,17852,Germany
536370,851230,Sample Product 1,4,2025-12-01 08:26:00,2.55,17853,United Kingdom
536371,851231,Sample Product 2,10,2025-12-01 08:26:00,3.39,17854,United Kingdom
536372,851232,Sample Product 3,1,2025-12-01 08:26:00,2.75,17855,France
536373,851233,Sample Product 4,3,2025-12-01 08:26:00,7.65,17856,Germany
536374,851234,Sample Product 5,24,2025-12-01 08:26:00,4.25,17857,United Kingdom
536365,851230,Sample Product 1,6,2025-12-01 08:26:00,2.55,17850,United Kingdom
536366,851231,Sample Product 2,8,2025-12-01 08:26:00,3.39,17851,France
536367,851232,Sample Product 3,-1,2025-12-01 08:26:00,2.75,17852,Germany
536368,851233,Sample Product 4,12,2025-12-01 08:26:00,7.65,17853,United Kingdom
536369,851234,Sample Product 5,2,2025-12-01 08:26:00,4.25,17854,United Kingdom
536370,851230,Sample Product 1,4,2025-12-01 08:26:00,2.55,17855,France
536371,851231,Sample Product 2,10,2025-12-01 08:26:00,3.39,17856,Germany
536372,851232,Sample Product 3,1,2025-12-01 08:26:00,2.75,17857,United Kingdom
536373,851233,Sample Product 4,3,2025-12-01 08:26:00,7.65,17850,United Kingdom
536374,851234,Sample Product 5,24,2025-12-01 08:26:00,4.25,17851,France
536365,851230,Sample Product 1,6,2025-12-01 08:26:00,2.55,17852,Germany
536366,851231,Sample Product 2,8,2025-12-01 08:26:00,3.39,17853,United Kingdom
536367,851232,Sample Product 3,-1,2025-12-01 08:26:00,2.75,17854,United Kingdom
536368,851233,Sample Product 4,12,2025-12-01 08:26:00,7.65,17855,France
536369,851234,Sample Product 5,2,2025-12-01 08:26:00,4.25,17856,Germany
536370,851230,Sample Product 1,4,2025-12-01 08:26:00,2.55,17857,United Kingdom
536371,851231,Sample Product 2,10,2025-12-01 08:26:00,3.39,17850,United Kingdom
536372,851232,Sample Product 3,1,2025-12-01 08:26:00,2.75,17851,France
536373,851233,Sample Product 4,3,2025-12-01 08:26:00,7.65,17852,Germany
536374,851234,Sample Product 5,24,2025-12-01 08:26:00,4.25,17853,United Kingdom
